Chance,ItemID,Description,Percent
12500,1032026,Gold Emerald Earrings,0.07%
16667,1102042,Purple Adventurer Cape,0.10%
33333,1072239,Yellow Snowshoes,0.19%
33333,1082149,Brown Work Gloves,0.19%
33333,1102041,Pink Adventurer Cape,0.19%
50000,1032030,Sword Earrings,0.29%
50000,1050127,Bath Towel (Black),0.29%
50000,1051140,Yellow Bath Towel,0.29%
50000,1072238,Violet Snowshoes,0.29%
55263,1102046,Blue Musketeer Cape,0.32%
55263,1102047,Turquoise Musketeer Cape,0.32%
55263,1102048,Red Musketeer Cape,0.32%
55263,1442026,Red Surfboard,0.32%
61111,1032017,Rose Earrings,0.35%
61111,1102040,Yellow Adventurer Cape,0.35%
61111,1432039,Fishing Pole,0.35%
67647,1032023,Strawberry Earrings,0.39%
67647,1102031,Green Giles Cape,0.39%
67647,1102032,Purple Giles Cape,0.39%
67647,1102033,Red Giles Cape,0.39%
67647,1102034,Blue Giles Cape,0.39%
67647,1102035,Black Giles Cape,0.39%
67647,1432018,Sky Ski,0.39%
75000,1002392,Brown Bandana,0.43%
75000,1032016,Metal Heart Earrings,0.43%
75000,1032032,Fallen Leaf Earrings,0.43%
75000,1302049,Glowing Whip,0.43%
83333,1032022,Half Earrings,0.48%
83333,1102026,Green Seraph Cape,0.48%
83333,1102027,Blue Seraph Cape,0.48%
83333,1102028,Red Seraph Cape,0.48%
83333,1102029,White Seraph Cape,0.48%
83333,1102030,Black Seraph Cape,0.48%
92857,1002391,Green Bandana,0.53%
92857,1032015,Metal Silver Earrings,0.53%
92857,1322026,Colorful Tube,0.53%
103846,1032020,Gold Drop Earrings,0.59%
103846,1102021,Blue Gaia Cape,0.59%
103846,1102022,Red Gaia Cape,0.59%
103846,1102023,White Gaia Cape,0.59%
103846,1102024,Black Gaia Cape,0.59%
116667,1032014,Pink-Flowered Earrings,0.67%
116667,1092022,Palette,0.67%
116667,1102015,Blue Magic Cape,0.67%
116667,1102016,Red Magic Cape,0.67%
116667,1102017,White Magic Cape,0.67%
116667,1102018,Black Magic Cape,0.67%
116667,1302021,Pico-Pico Hammer,0.67%
116667,1312013,Green Paint Brush,0.67%
116667,1322025,Emergency Rescue Tube,0.67%
116667,1402014,Thermometer,0.67%
116667,1422011,Sake Bottle,0.67%
116667,1442017,Blood Snowboard,0.67%
131818,1032019,Crystal Flower Earrings,0.75%
131818,1032021,Holy Cross Earrings,0.75%
131818,1102011,Blue Justice Cape,0.75%
131818,1102012,Red Justice Cape,0.75%
131818,1102013,White Justice Cape,0.75%
131818,1102014,Black Justice Cape,0.75%
131818,1302025,Red Umbrella,0.75%
131818,1312014,Black Paint Brush,0.75%
131818,1432017,Green Ski,0.75%
131818,1442027,Green Surfboard,0.75%
150000,1032012,Skull Earrings,0.86%
150000,1032013,Red-Hearted Earrings,0.86%
150000,1032027,Black Emerald Earrings,0.86%
150000,1102000,Green Adventurer Cape,0.86%
150000,1102001,Blue Adventurer Cape,0.86%
150000,1102002,Red Adventurer Cape,0.86%
150000,1102003,White Adventurer Cape,0.86%
150000,1102004,Black Adventurer Cape,0.86%
150000,1102043,Brown Adventurer Cape,0.86%
150000,1322021,Black Tube,0.86%
150000,1442018,Frozen Tuna,0.86%
158333,1442016,Dark Snowboard,0.91%
172222,1032018,Pansy Earrings,0.99%
172222,1312012,Hula Hoop,0.99%
172222,1442028,Black Surfboard,0.99%
182558,1302029,Beige Umbrella,1.05%
200000,1032011,Blue Moon,1.14%
200000,1302016,Yellow Umbrella,1.14%
200000,1322024,Purple Tube,1.14%
227778,1442015,Golden Snowboard,1.30%
235714,1032002,Sapphire Earrings,1.35%
235714,1032008,Cat's Eye,1.35%
235714,1302013,Red Whip,1.35%
253030,1432016,Orange Ski,1.45%
283333,1002026,Brown Bamboo Hat,1.62%
283333,1002089,Green Bamboo Hat,1.62%
283333,1002090,Blue Bamboo Hat,1.62%
283333,1002393,Pink Bandana,1.62%
283333,1002394,Grey Bandana,1.62%
283333,1002452,Black Starry Bandana,1.62%
283333,1002453,White Starry Bandana,1.62%
283333,1002492,White Baseball Cap,1.62%
283333,1004765,Purple Bamboo Hat,1.62%
283333,1050100,Bathrobe for Men,1.62%
283333,1051098,Bathrobe for Women,1.62%
283333,1082145,Yellow Work Gloves,1.62%
283333,1082146,Red Work Gloves,1.62%
283333,1082147,Blue Work Gloves,1.62%
283333,1082148,Purple Work Gloves,1.62%
283333,1082150,Grey Work Gloves,1.62%
283333,1302027,Green Umbrella,1.62%
283333,1302028,Light Purple Umbrella,1.62%
283333,1322003,Lollipop,1.62%
283333,1322027,Frying Pan,1.62%
283333,1322031,Pig Illustrated,1.62%
283333,1402010,Aluminum Baseball Bat,1.62%
283333,1432015,Red Ski,1.62%
283333,1442011,Surfboard,1.62%
283333,1442013,Aqua Snowboard,1.62%
283333,1442014,Silver Snowboard,1.62%
283333,1442029,Gold Surfboard,1.62%
