Chance,ItemID,Description,Percent
50000,1002646,Black Polax Hat,0.70%
50000,1052131,Red Belly Duke,0.70%
50000,1072318,Black Duke Barkin Shoes,0.70%
50000,1082213,Black Skellduke,0.70%
50000,1202007,Eternal Bullet,0.70%
50000,1482012,King Cent,0.70%
50000,1492012,Concerto,0.70%
61111,1002643,Red Brave Hamal,0.85%
61111,1052128,White Marquini,0.85%
61111,1072315,Black Markintz,0.85%
61111,1082210,Red Martier,0.85%
61111,1482011,White Fangz,0.85%
61111,1492011,The Peacemaker,0.85%
75000,1002640,Blue Sun Boat Hat,1.04%
75000,1052125,White Pioneer,1.04%
75000,1072312,Blue Pageant,1.04%
75000,1082207,Blue Halfglove,1.04%
75000,1482010,Steelno,1.04%
75000,1492010,Infinity's Wrath,1.04%
92857,1002637,Black Pirate's Bandana,1.29%
92857,1052122,Red Viska,1.29%
92857,1072309,Black Voyson Shoes,1.29%
92857,1082204,Black Bisk,1.29%
92857,1202006,Shiny Bullet,1.29%
92857,1482009,Beia Crash,1.29%
92857,1492009,Abyss Shooter,1.29%
116667,1002634,Purple Cast Linen,1.62%
116667,1052119,Black Royal Barone,1.62%
116667,1072306,Black Basile Boots,1.62%
116667,1082201,Black Schult,1.62%
116667,1202004,Blaze Capsule,1.62%
116667,1202005,Glaze Capsule,1.62%
116667,1482008,Psycho Claw,1.62%
116667,1492008,Burning Hell,1.62%
150000,1002631,Brown Leather Ocean Hat,2.09%
150000,1052116,Green Plasteer,2.09%
150000,1072303,Brown Double Boots,2.09%
150000,1082198,Brown Royce,2.09%
150000,1202003,Vital Bullet,2.09%
150000,1482007,Fury Claw,2.09%
150000,1492007,Mr. Rasfelt,2.09%
200000,1002628,Red Misty,2.79%
200000,1052113,Red Barbay,2.79%
200000,1072300,Brown Leather Krag,2.79%
200000,1082195,Brown Barbee,2.79%
200000,1202002,Mighty Bullet,2.79%
200000,1482006,Neozard,2.79%
200000,1492006,Lunar Shooter,2.79%
235714,1002625,Blue Den Marine,3.28%
235714,1052110,Blue Brace Look,3.28%
235714,1072297,Brown Locote Shoes,3.28%
235714,1082192,Brown Jeweled,3.28%
235714,1482005,Silver Maiden,3.28%
235714,1492005,Shooting Star,3.28%
283333,1072338,Purple Snowshoes,3.95%
283333,1202001,Split Bullet,3.95%
