InGame,DropperID,MobName,isBoss,Enable,QuestID,ItemID,ServerItemName,ItemName,Chance,MinQTY,MaxQTY,AvgQty,,,,,,,,,,,,,,,,
TRUE,2000,Amherst Crate,#N/A,TRUE,0,0,Meso,Meso,400000,1,5,3,,,,,,,,,,,,,,,,#REF!
TRUE,2000,Amherst Crate,#N/A,TRUE,0,2010000,Apple,Apple,100000,1,1,1,,,,,,,,,,,,,,,,
TRUE,2000,Amherst Crate,#N/A,TRUE,0,2010009,Green Apple,Green Apple,100000,1,1,1,,,,,,,,,,,,,,,,
TRUE,2000,Amherst Crate,#N/A,TRUE,1008,4031161,Rusty Screw,Rusty Screw,1000000,1,1,1,,,,,,,,,,,,,,,,
TRUE,2000,Amherst Crate,#N/A,TRUE,1008,4031162,Old Wooden Board,Old Wooden Board,1000000,1,1,1,,,,,,,,,,,,,,,,
TRUE,100100,Snail,FALSE,TRUE,0,0,Meso,Meso,400000,4,6,5,,,,,,,,,,,,,,,,
TRUE,100100,Snail,FALSE,TRUE,0,1002067,Green Headband,Green Headband,1287,1,1,1,,,,,,,,,,,,,,,,
TRUE,100100,Snail,FALSE,TRUE,0,1040002,White Undershirt,White Undershirt,700,1,1,1,,,,,,,,,,,,,,,,
TRUE,100100,Snail,FALSE,TRUE,0,1052095,Brown Rocky Suit,Brown Rocky Suit,700,1,1,1,,,,,,,,,,,,,,,,
TRUE,100100,Snail,FALSE,TRUE,0,1302000,Sword,Sword,700,1,1,1,,,,,,,,,,,,,,,,
TRUE,100100,Snail,FALSE,TRUE,0,2000000,Red Potion,Red Potion,20000,1,1,1,,,,,,,,,,,,,,,,
TRUE,100100,Snail,FALSE,TRUE,0,2010009,Green Apple,Green Apple,20000,1,1,1,,,,,,,,,,,,,,,,
TRUE,100100,Snail,FALSE,TRUE,0,2040002,Scroll for Helmet for Defense 10%,Scroll for Helmet for Defense 10%,300,1,1,1,,,,,,,,,,,,,,,,
TRUE,100100,Snail,FALSE,TRUE,0,2041004,Scroll for Cape for Defense 60%,Scroll for Cape for Defense 60%,300,1,1,1,,,,,,,,,,,,,,,,
TRUE,100100,Snail,FALSE,TRUE,0,4000019,Snail Shell,Snail Shell,600000,1,1,1,,,,,,,,,,,,,,,,
TRUE,100100,Snail,FALSE,TRUE,0,4010000,Bronze Ore,Bronze Ore,9000,1,1,1,,,,,,,,,,,,,,,,
TRUE,100100,Snail,FALSE,TRUE,0,4020000,Garnet Ore,Garnet Ore,9000,1,1,1,,,,,,,,,,,,,,,,
TRUE,100101,Blue Snail,FALSE,TRUE,0,0,Meso,Meso,400000,8,12,10,,,,,,,,,,,,,,,,
TRUE,100101,Blue Snail,FALSE,TRUE,0,1040006,Undershirt,Undershirt,700,1,1,1,,,,,,,,,,,,,,,,
TRUE,100101,Blue Snail,FALSE,TRUE,0,1040013,Blue One-lined T-Shirt,Blue One-lined T-Shirt,800,1,1,1,,,,,,,,,,,,,,,,
TRUE,100101,Blue Snail,FALSE,TRUE,0,1040017,Grey / Brown Training Shirt,Grey / Brown Training Shirt,800,1,1,1,,,,,,,,,,,,,,,,
TRUE,100101,Blue Snail,FALSE,TRUE,0,1041012,Red-Striped T-Shirt,Red-Striped T-Shirt,800,1,1,1,,,,,,,,,,,,,,,,
TRUE,100101,Blue Snail,FALSE,TRUE,0,1060004,Grey Thick Sweat Pants,Grey Thick Sweat Pants,800,1,1,1,,,,,,,,,,,,,,,,
TRUE,100101,Blue Snail,FALSE,TRUE,0,1060013,Grey / Brown Training Pants,Grey / Brown Training Pants,800,1,1,1,,,,,,,,,,,,,,,,
TRUE,100101,Blue Snail,FALSE,TRUE,0,2000000,Red Potion,Red Potion,20000,1,1,1,,,,,,,,,,,,,,,,
TRUE,100101,Blue Snail,FALSE,TRUE,0,2010009,Green Apple,Green Apple,20000,1,1,1,,,,,,,,,,,,,,,,
TRUE,100101,Blue Snail,FALSE,TRUE,0,2041003,Scroll for Cape for Defense 100%,Scroll for Cape for Defense 100%,300,1,1,1,,,,,,,,,,,,,,,,
TRUE,100101,Blue Snail,FALSE,TRUE,0,4000000,Blue Snail Shell,Blue Snail Shell,600000,1,1,1,,,,,,,,,,,,,,,,
TRUE,100101,Blue Snail,FALSE,TRUE,0,4010001,Steel Ore,Steel Ore,9000,1,1,1,,,,,,,,,,,,,,,,
TRUE,100101,Blue Snail,FALSE,TRUE,0,4010004,Silver Ore,Silver Ore,7000,1,1,1,,,,,,,,,,,,,,,,
TRUE,100101,Blue Snail,FALSE,TRUE,0,4020001,Amethyst Ore,Amethyst Ore,9000,1,1,1,,,,,,,,,,,,,,,,
TRUE,100101,Blue Snail,FALSE,TRUE,0,4020004,Opal Ore,Opal Ore,7000,1,1,1,,,,,,,,,,,,,,,,
TRUE,100110,Bob,TRUE,TRUE,0,0,Meso,Meso,400000,400,600,500,,,,,,,,,,,,,,,,
TRUE,100110,Bob,TRUE,TRUE,0,1002391,Green Bandana,Green Bandana,1000,1,1,1,,,,,,,,,,,,,,,,
TRUE,100110,Bob,TRUE,TRUE,0,1102000,Green Adventurer Cape,Green Napoleon,7000,1,1,1,,,,,,,,,,,,,,,,
TRUE,100110,Bob,TRUE,TRUE,0,1102001,Blue Adventurer Cape,Blue Napoleon,7000,1,1,1,,,,,,,,,,,,,,,,
TRUE,100110,Bob,TRUE,TRUE,0,1102002,Red Adventurer Cape,Red Napoleon,7000,1,1,1,,,,,,,,,,,,,,,,
TRUE,100110,Bob,TRUE,TRUE,0,1102003,White Adventurer Cape,White Napoleon,7000,1,1,1,,,,,,,,,,,,,,,,
TRUE,100110,Bob,TRUE,TRUE,0,1102004,Black Adventurer Cape,Black Napoleon,7000,1,1,1,,,,,,,,,,,,,,,,
TRUE,120100,Shroom,FALSE,TRUE,0,0,Meso,Meso,400000,8,12,10,,,,,,,,,,,,,,,,
