InGame,DropperID,MobName,Enable,QuestID,ItemID,ServerItemName,ItemName,Chance,MinQTY,MaxQTY
TRUE,2000,Amherst Crate,TRUE,0,0,Meso,Meso,400000,1,5
TRUE,2000,Amherst Crate,TRUE,0,2010000,Apple,Apple,100000,1,1
TRUE,2000,Amherst Crate,TRUE,0,2010009,Green Apple,Green Apple,100000,1,1
TRUE,2000,Amherst Crate,TRUE,1008,4031161,Rusty Screw,Rusty Screw,1000000,1,1
TRUE,2000,Amherst Crate,TRUE,1008,4031162,Old Wooden Board,Old Wooden Board,1000000,1,1
TRUE,100100,Snail,TRUE,0,0,Meso,Meso,400000,4,6
TRUE,100100,Snail,FALSE,0,1200000,Arrow for Bow,Arrow for Bow,30000,1,2
TRUE,100100,Snail,FALSE,0,1201000,Bolt for Crossbow,Arrow for Crossbow,30000,1,2
TRUE,100100,Snail,FALSE,0,2380000,Snail Card,Snail Card,8000,1,1
TRUE,100100,Snail,TRUE,0,1002067,Green Headband,Green Headband,1287,1,1
TRUE,100100,Snail,TRUE,0,1040002,White Undershirt,White Undershirt,700,1,1
TRUE,100100,Snail,TRUE,0,1052095,Brown Rocky Suit,Brown Rocky Suit,700,1,1
TRUE,100100,Snail,TRUE,0,1302000,Sword,Sword,700,1,1
TRUE,100100,Snail,TRUE,0,2000000,Red Potion,Red Potion,20000,1,1
TRUE,100100,Snail,TRUE,0,2010009,Green Apple,Green Apple,20000,1,1
TRUE,100100,Snail,TRUE,0,2040002,Scroll for Helmet for Defense 10%,Scroll for Helmet for Defense 10%,300,1,1
TRUE,100100,Snail,TRUE,0,2041004,Scroll for Cape for Defense 60%,Scroll for Cape for Defense 60%,300,1,1
TRUE,100100,Snail,TRUE,0,4000019,Snail Shell,Snail Shell,600000,1,1
TRUE,100100,Snail,TRUE,0,4010000,Bronze Ore,Bronze Ore,9000,1,1
TRUE,100100,Snail,TRUE,0,4020000,Garnet Ore,Garnet Ore,9000,1,1
TRUE,100101,Blue Snail,TRUE,0,0,Meso,Meso,400000,8,12
TRUE,100101,Blue Snail,FALSE,0,1200000,Arrow for Bow,Arrow for Bow,30000,1,1
TRUE,100101,Blue Snail,FALSE,0,1201000,Bolt for Crossbow,Arrow for Crossbow,30000,1,1
TRUE,100101,Blue Snail,FALSE,0,2380001,Blue Snail Card,Blue Snail Card,8000,1,1
TRUE,100101,Blue Snail,FALSE,0,4030012,Monster Card,Monster Card,125000,1,1
TRUE,100101,Blue Snail,TRUE,0,1040006,Undershirt,Undershirt,700,1,1
TRUE,100101,Blue Snail,TRUE,0,1040013,Blue One-lined T-Shirt,Blue One-lined T-Shirt,800,1,1
TRUE,100101,Blue Snail,TRUE,0,1040017,Grey / Brown Training Shirt,Grey / Brown Training Shirt,800,1,1
TRUE,100101,Blue Snail,TRUE,0,1041012,Red-Striped T-Shirt,Red-Striped T-Shirt,800,1,1
TRUE,100101,Blue Snail,TRUE,0,1060004,Grey Thick Sweat Pants,Grey Thick Sweat Pants,800,1,1
TRUE,100101,Blue Snail,TRUE,0,1060013,Grey / Brown Training Pants,Grey / Brown Training Pants,800,1,1
TRUE,100101,Blue Snail,TRUE,0,2000000,Red Potion,Red Potion,20000,1,1
TRUE,100101,Blue Snail,TRUE,0,2010009,Green Apple,Green Apple,20000,1,1
TRUE,100101,Blue Snail,TRUE,0,2041003,Scroll for Cape for Defense 100%,Scroll for Cape for Defense 100%,300,1,1
TRUE,100101,Blue Snail,TRUE,0,4000000,Blue Snail Shell,Blue Snail Shell,600000,1,1
TRUE,100101,Blue Snail,TRUE,0,4010001,Steel Ore,Steel Ore,9000,1,1
TRUE,100101,Blue Snail,TRUE,0,4010004,Silver Ore,Silver Ore,7000,1,1
TRUE,100101,Blue Snail,TRUE,0,4020001,Amethyst Ore,Amethyst Ore,9000,1,1
TRUE,100101,Blue Snail,TRUE,0,4020004,Opal Ore,Opal Ore,7000,1,1
TRUE,100110,Bob,TRUE,0,0,Meso,Meso,400000,400,600
TRUE,100110,Bob,FALSE,0,1442023,Maroon Mop,Maroon Mop,1000,1,1
TRUE,100110,Bob,TRUE,0,1002391,Green Bandana,Green Bandana,1000,1,1
TRUE,100110,Bob,TRUE,0,1102000,Green Adventurer Cape,Green Napoleon,7000,1,1
TRUE,100110,Bob,TRUE,0,1102001,Blue Adventurer Cape,Blue Napoleon,7000,1,1
TRUE,100110,Bob,TRUE,0,1102002,Red Adventurer Cape,Red Napoleon,7000,1,1
TRUE,100110,Bob,TRUE,0,1102003,White Adventurer Cape,White Napoleon,7000,1,1
TRUE,100110,Bob,TRUE,0,1102004,Black Adventurer Cape,Black Napoleon,7000,1,1
FALSE,100120,Tino,FALSE,0,0,Meso,Meso,400000,1,5
FALSE,100120,Tino,FALSE,0,1200000,Arrow for Bow,Arrow for Bow,10000,1,1
FALSE,100120,Tino,FALSE,0,1201000,Bolt for Crossbow,Arrow for Crossbow,10000,1,1
FALSE,100120,Tino,FALSE,0,2010000,Apple,Apple,3000,1,1
FALSE,100120,Tino,FALSE,0,4003004,Stiff Feather,Stiff Feather,7000,1,1
FALSE,100120,Tino,FALSE,0,4020000,Garnet Ore,Garnet Ore,7000,1,1
FALSE,100121,Tiv,FALSE,0,0,Meso,Meso,400000,10,14
FALSE,100121,Tiv,FALSE,0,1200000,Arrow for Bow,Arrow for Bow,10000,1,1
FALSE,100121,Tiv,FALSE,0,2000000,Red Potion,Red Potion,40000,1,1
FALSE,100121,Tiv,FALSE,0,4000483,Tiv's Feather,Tiv's Feather,400000,1,1
FALSE,100121,Tiv,FALSE,0,4003004,Stiff Feather,Stiff Feather,7000,1,1
FALSE,100122,Timu,FALSE,0,0,Meso,Meso,400000,35,52
FALSE,100122,Timu,FALSE,0,1452002,War Bow,War Bow,700,1,1
FALSE,100122,Timu,FALSE,0,2000000,Red Potion,Red Potion,40000,1,1
FALSE,100122,Timu,FALSE,0,4003004,Stiff Feather,Stiff Feather,7000,1,1
FALSE,100122,Timu,FALSE,0,4010002,Mithril Ore,Mithril Ore,7000,1,1
FALSE,100122,Timu,FALSE,0,4020002,AquaMarine Ore,AquaMarine Ore,7000,1,1
FALSE,100123,Tiru,FALSE,0,0,Meso,Meso,400000,38,55
FALSE,100123,Tiru,FALSE,0,1201000,Bolt for Crossbow,Arrow for Crossbow,10000,1,1
FALSE,100123,Tiru,FALSE,0,2000000,Red Potion,Red Potion,40000,1,1
FALSE,100123,Tiru,FALSE,0,4003004,Stiff Feather,Stiff Feather,7000,1,1
FALSE,100123,Tiru,FALSE,0,4010003,Adamantium Ore,Adamantium Ore,7000,1,1
FALSE,100124,Tiguru,FALSE,0,0,Meso,Meso,400000,40,59
